Variações por Regiões e Grupos
   ;Aracaju (SE);Belo Horizonte (MG);Belém (PA);Brasil;Brasília (DF);Campo Grande (MS);Curitiba (PR);Fortaleza (CE);Goiânia (GO);Grande Vitória (ES);Porto Alegre (RS);Recife (PE);Rio Branco (AC);Rio de Janeiro (RJ);Salvador (BA);São Luís (MA);São Paulo (SP)
1.Alimentação e bebidas;0.08;0.5;0.5;0.71;0.95;1.2;0.48;0.2;0.81;0.44;1.17;0.27;0.13;0.43;0.18;0.93;1.05
2.Habitação;0.96;0.25;-0.13;0.48;-0.11;1.97;0.8;0.03;1.55;-0.16;-0.23;-0.2;1.15;1.66;0.54;0.33;0.33
3.Artigos de residência;-1.3;-0.48;0.69;0.17;-0.45;-0.06;0.66;0.47;-0.08;-1;0.5;0.21;1.14;0;0.01;-0.95;0.42
4.Vestuário;0.94;1.08;-0.05;0.79;0.81;0.29;0.82;1.85;1.03;0.82;0.64;-0.08;1.03;1.25;0.54;0.27;0.88
5.Transportes;-0.06;1.03;1.55;0.56;0.56;0.17;0.54;1.1;0.7;0.22;-0.19;-0.52;0.42;1.07;0.37;0.53;0.53
6.Saúde e cuidados pessoais;1.61;1.5;1.11;1.49;1.44;1.48;1.33;1.39;1.25;1.23;1.27;1.41;1.31;1.45;1.73;1.13;1.69
7.Despesas pessoais;-0.31;-0.01;0.07;0.18;0.29;0.73;-0.17;0;0.16;0.02;0.76;-0.09;0.81;0.03;-0.08;0.26;0.26
8.Educação;0.13;0.19;0.27;0.09;0.21;0.22;0.11;0.02;0.1;0.1;0.17;0.1;0.42;0.05;0.04;0.04;0.03
9.Comunicação;0.13;-0.04;-0.39;0.08;0.19;0.16;0.41;0.03;0.11;0.23;0.1;0.32;0.01;0.11;0.82;0.05;-0.09
Índice geral;0.39;0.6;0.56;0.61;0.56;0.89;0.57;0.56;0.77;0.31;0.49;0.16;0.64;0.85;0.5;0.53;0.67

Fonte: "IBGE - Índice Nacional de Preços ao Consumidor Amplo"
